    25357/  4 | SET 0
    25607/  4 | 2873 
    25607/  4 | 2873 
    25607/  4 | 2873 
    25608/  4 | 2873 
    25608/  4 | 2873 
    25608/  4 | 2873 
    25608/  4 | 2873 
    25609/  4 | 2873 
    25609/  4 | 2873 
    25609/  4 | 2873 
    25609/  4 | 2873 
    25610/  4 | 2873 
    25610/  4 | 2873 
    25610/  4 | 2873 
    25610/  4 | 2873 
    25610/  4 | 2873 
    25611/  4 | 2873 
    25611/  4 | 2873 
    25611/  4 | 2873 
    25611/  4 | 2873 
    25612/  4 | 2873 
    25612/  4 | 2873 
    25612/  4 | 2873 
    25612/  4 | 2873 
    25613/  4 | 2873 
    25613/  4 | 2873 
    25613/  4 | 2873 
    25613/  4 | 2873 
    25614/  4 | 2873 
    25614/  4 | 2873 
    25614/  4 | 2873 
    25614/  4 | 2873 
    25615/  4 | 2873 
    25615/  4 | 2873 
    25615/  4 | 2873 
    25615/  4 | 2873 
    25615/  4 | 2873 
    25616/  4 | 2873 
    25616/  4 | 2873 
    25616/  4 | 2873 
    25616/  4 | 2873 
    25617/  4 | 2873 
    25617/  4 | 2873 
    25617/  4 | 2873 
    25617/  4 | 2873 
    25618/  4 | 2873 
    25618/  4 | 2873 
    25618/  4 | 2873 
    25618/  4 | 2873 
    25619/  4 | 2873 
    25619/  4 | 2873 
    25619/  4 | 2873 
    25619/  4 | 2873 
